genre,enteredCharts,twitterFollowers,artistSongs,labelSongs,daysAfterRelease
Techno,0,4728,28,2,30
Electro House,0,20136,502,747,6
Deep House,0,4428,53,56,6
Deep House,0,3566,93,89,9
Deep House,0,1339,256,145,10
House,0,412,20,174,21
Deep House,0,27,51,549,16
House,0,7958,497,5809,11
Techno,0,171,25,77,23
Electro House,0,15360,541,178,32
House,1,7099,126,171,6
Progressive House,0,1613,183,220,18
House,0,521,338,151,0
Techno,0,50,70,1308,3
Techno,0,82,115,79,26
Electro House,0,19838,780,1105,27
Techno,0,13,102,48,13
Trance,0,92,139,1680,13
Dubstep,1,84,9,45,9
House,0,4433,4,68,12
House,0,92,38,136,9
Techno,0,42,22,7,24
Deep House,0,319,245,69,30
House,0,117,94,46,25
Electro House,1,21700004,2,404,37
Progressive House,0,1964,333,340,30
House,0,750,156,29,16
House,0,27,690,3241,10
Trance,0,368,9,430,16
House,0,690,269,78,15
Progressive House,0,2762,34,904,16
Trance,0,2634,195,3827,6
House,0,2279,611,3282,14
Techno,0,243,53,198,6
House,0,327,9,179,3
Progressive House,0,14428,295,340,30
Trance,1,1650,251,438,16
Progressive House,0,8930,13,16231,17
Progressive House,0,15360,541,48,34
Electro House,0,493,54,319,2
Electro House,0,309,208,525,13
Deep House,0,38,25,4058,6
Electro House,0,4,39,57,20
Deep House,0,359,109,32,9
Trance,1,75,92,47,44
Deep House,0,640,7,47,2
House,0,166,11,179,3
House,0,4514,173,16231,12
House,0,27,89,17,12
Deep House,0,604,36,410,19
Trance,0,16496,238,105,16
Progressive House,0,4512,127,42,2
House,0,1,203,310,0
Deep House,0,80,66,18,13
House,0,962,51,15,16
Electro House,0,46,25,747,2
Deep House,1,2943,52,4689,51
House,0,98,62,97,17
House,0,220,85,179,33
Deep House,1,409,144,650,2
Deep House,0,799,27,34,2
House,0,34,101,6,11
Progressive House,0,429,347,340,30
Electro House,0,75,11,102,5
Techno,0,638,237,66,9
Deep House,0,38,25,5809,12
Trance,0,3793,80,1017,9
Techno,0,3543,273,65,30
House,0,918,2133,376,9
House,1,1015,105,85,58
Deep House,0,21480,11,380,20
Electro House,0,1671,40,428,30
Electro House,0,11,120,650,20
House,0,1112,223,1105,16
House,0,90,15,106,10
Progressive House,0,3282,63,16231,17
House,0,7041,66,29,3
Deep House,0,449,117,8,31
House,0,78549,3,11,12
Deep House,0,357,116,20,2
Techno,0,66,47,89,10
House,0,59828,99,16231,24
Deep House,0,674,194,151,16
House,0,15629,337,345,30
Progressive House,0,204,33,12,27
House,0,3837,92,1621,16
House,0,63,6,11,9
Electro House,0,2704,50,392,6
House,0,1081,55,226,9
Trance,1,181,10,14,65
Techno,0,412,20,91,16
Techno,1,1003,21,267,44
Trance,0,8940,100,448,30
Trance,0,8,56,430,16
Progressive House,0,2762,34,14,23
Deep House,0,29,78,79,9
