Gender,Amount,MPHover,Age,OutTown,OutState,Police
male,,16,47,1,1,local police
female,,14,18,1,0,local police
male,,10,26,1,0,state police
female,,15,20,0,0,local police
male,,14,35,0,0,local police
female,225,25,29,1,1,state police
male,,16,66,1,0,local police
female,,12,20,1,0,local police
female,,18,47,1,0,local police
male,125,20,37,1,0,local police
male,,14,39,1,0,local police
male,50,10,21,1,0,local police
female,175,20,22,1,0,local police
male,,19,25,1,1,local police
female,,16,40,0,0,local police
female,130,18,26,0,0,local police
female,,15,30,1,0,local police
female,,13,45,0,0,local police
male,100,15,24,1,0,state police
male,70,12,50,1,0,local police
male,95,12,21,1,0,local police
female,,20,38,1,0,local police
female,,15,43,1,0,local police
female,,13,38,1,0,local police
male,75,17,53,1,0,local police
male,125,15,21,1,0,local police
male,,12,45,1,0,local police
male,75,15,28,1,0,state police
male,,16,36,0,0,local police
female,,14,23,1,0,state police
male,,11,20,1,0,local police
female,,19,19,1,0,local police
male,,9,41,1,1,state police
female,,10,26,1,0,local police
female,,10,32,1,0,state police
male,,10,25,1,0,local police
male,,19,64,1,0,local police
male,,10,24,0,0,state police
female,70,12,19,1,0,state police
male,175,20,44,1,1,state police
female,,10,53,1,0,local police
female,,18,52,1,0,local police
female,,10,45,1,0,local police
female,,12,36,0,0,local police
male,225,25,53,1,0,state police
female,,17,22,1,0,local police
female,,10,34,0,0,local police
female,75,10,38,1,0,state police
female,,11,37,0,0,local police
male,50,14,60,1,0,local police
male,,14,39,1,0,local police
female,,13,23,0,0,local police
male,145,17,17,1,0,state police
female,,17,40,1,0,local police
male,,15,42,0,0,local police
male,255,28,23,1,0,state police
male,,15,47,1,0,local police
male,140,28,52,1,0,local police
male,,17,27,1,0,local police
female,165,19,22,1,0,state police
female,135,16,31,0,0,local police
male,105,13,19,1,0,state police
male,125,15,40,1,0,state police
male,,17,45,1,1,local police
male,185,21,19,1,0,state police
female,75,10,39,1,1,local police
male,,12,18,1,0,local police
female,125,15,19,1,0,state police
male,175,20,24,1,0,local police
female,,11,38,0,0,local police
male,165,19,22,1,1,local police
male,135,16,45,1,0,state police
male,75,15,21,0,0,local police
male,75,10,26,1,0,local police
female,195,22,51,0,0,local police
female,,13,30,0,0,local police
male,,14,69,0,0,local police
female,125,15,27,1,0,local police
male,,10,35,0,0,state police
male,,15,31,0,0,local police
female,135,16,40,1,1,state police
female,,12,50,1,0,local police
male,75,14,39,1,0,state police
male,175,20,23,0,0,local police
female,75,19,20,1,0,local police
male,,20,63,1,0,local police
male,,14,51,1,0,local police
male,,15,38,1,0,local police
female,,10,26,0,0,local police
female,145,17,52,1,0,local police
male,,14,42,1,0,local police
male,75,10,60,1,0,local police
female,165,19,26,1,0,state police
female,,8,69,1,0,local police
male,175,20,19,1,0,state police
male,,11,49,1,0,local police
male,75,10,21,1,0,state police
female,50,10,21,0,0,local police
male,,10,38,0,0,local police
female,240,29,22,1,1,state police
female,,16,49,0,0,local police
female,,12,47,1,1,local police
female,,14,37,0,0,local police
female,,10,28,1,1,state police
male,165,19,33,1,0,local police
male,,15,20,0,0,local police
male,75,25,20,1,0,local police
female,,10,29,1,1,local police
female,75,10,48,1,1,local police
female,,16,21,1,0,local police
female,,18,45,1,0,local police
female,100,19,19,0,0,local police
male,265,29,34,1,1,state police
male,100,15,18,1,0,local police
female,,16,17,0,0,local police
female,,17,27,0,0,local police
female,225,25,20,1,0,local police
male,,10,56,1,0,local police
female,75,10,24,1,0,local police
female,75,15,47,1,0,state police
female,75,10,20,1,0,state police
male,,16,33,1,0,local police
male,,12,31,1,0,local police
female,,15,22,0,0,local police
male,,10,31,1,0,state police
male,130,18,42,1,1,local police
male,,11,49,0,0,local police
male,,17,60,1,0,local police
female,,12,54,1,0,local police
female,,10,23,1,0,state police
female,,9,20,0,0,local police
female,75,17,39,1,0,local police
female,,15,35,1,0,state police
male,,15,34,1,0,local police
male,90,14,18,1,0,local police
female,135,16,30,1,0,local police
female,,10,60,1,0,local police
