Gender,Amount,MPHover,Age,OutTown,OutState,Police
male,,14,23,1,0,local police
male,,15,32,1,0,local police
male,50.0,8,20,1,0,local police
female,,15,22,0,0,local police
male,,12,46,0,0,local police
male,,15,26,1,0,local police
female,,13,49,0,0,local police
female,,18,28,1,0,local police
male,,15,31,0,0,local police
male,,14,17,1,0,local police
male,,12,23,1,1,local police
male,,14,24,1,0,local police
male,75.0,16,45,1,0,local police
male,,15,50,0,0,local police
male,205.0,55,18,1,0,local police
male,,11,24,0,0,local police
female,,13,24,1,0,local police
female,,13,23,1,0,local police
female,,11,20,1,0,local police
male,,11,26,1,1,local police
female,,17,24,1,0,local police
male,,11,25,1,0,local police
female,,13,50,0,0,local police
male,,11,32,1,0,local police
male,,9,40,1,0,state police
male,,13,40,1,0,local police
female,,18,25,1,0,local police
male,75.0,10,21,1,1,state police
male,180.0,23,21,1,1,state police
male,,13,28,0,0,local police
female,,12,41,0,0,local police
male,,15,21,1,0,local police
female,,16,43,1,1,local police
male,,13,39,1,0,local police
male,,15,23,0,0,local police
female,,14,24,1,0,local police
female,75.0,13,21,0,0,local police
male,,15,21,1,0,local police
female,,14,25,1,0,local police
female,,19,46,1,1,local police
male,,11,18,0,0,local police
male,,15,22,1,0,local police
male,,10,20,1,0,local police
male,,16,24,0,0,local police
male,,10,35,1,0,local police
male,,13,20,0,0,local police
female,,14,32,1,0,local police
male,,16,54,1,1,local police
female,,15,48,1,0,local police
male,,10,19,1,1,local police
male,,18,20,1,0,local police
female,,19,39,1,1,local police
female,75.0,16,33,0,0,state police
male,,14,23,1,0,local police
female,,12,21,1,0,local police
male,50.0,16,22,1,1,local police
male,,14,22,1,0,local police
female,,20,22,0,0,local police
female,,15,21,1,0,local police
male,,14,43,0,0,local police
male,,13,24,1,0,local police
male,,14,42,0,0,local police
male,,12,19,1,1,local police
female,,14,23,1,0,local police
male,,15,27,1,0,local police
female,,17,55,0,0,local police
female,,17,55,1,0,local police
female,,10,22,1,1,local police
male,,14,22,1,0,local police
male,145.0,17,23,1,1,local police
male,,10,52,1,0,local police
female,,12,24,1,1,local police
female,,13,56,1,0,local police
female,,11,56,0,0,local police
female,,10,22,1,0,local police
male,,13,50,1,0,local police
female,,17,42,0,0,local police
male,,15,47,1,0,local police
female,,13,19,1,0,local police
male,,18,24,1,0,local police
male,,21,36,1,0,local police
female,,14,19,0,0,local police
female,,11,21,1,1,local police
female,,12,22,1,1,local police
male,,14,49,0,0,local police
female,,10,21,0,0,local police
female,,15,45,0,0,local police
female,,12,21,0,0,local police
male,,14,63,0,0,local police
male,,12,22,1,0,local police
male,70.0,12,21,0,0,local police
male,,14,28,1,1,local police
male,,15,29,0,0,local police
male,,18,19,0,0,local police
female,,15,21,1,0,local police
female,,21,22,1,1,local police
male,,12,72,1,1,local police
male,,20,22,1,0,local police
male,,13,36,0,0,local police
male,75.0,23,25,0,0,local police
male,135.0,16,47,1,0,local police
male,,13,31,1,0,local police
male,,13,23,1,0,local police
male,75.0,17,23,0,0,local police
male,,11,21,1,0,local police
male,,13,51,1,0,local police
female,,15,20,1,0,local police
male,,12,22,1,0,local police
male,,20,32,1,0,local police
male,,11,23,1,1,local police
male,,10,46,1,0,local police
male,50.0,21,31,0,0,local police
female,,14,24,0,0,local police
female,,15,47,0,0,local police
female,,16,28,1,0,local police
female,135.0,17,44,1,0,local police
female,,11,38,1,0,local police
female,,12,22,1,0,local police
female,255.0,28,19,1,1,local police
female,,15,45,0,0,local police
male,,19,18,1,0,local police
male,,15,24,1,0,local police
female,,15,22,1,0,local police
female,,15,60,0,0,local police
male,,15,23,1,1,local police
female,,9,22,1,0,local police
male,,13,42,0,0,local police
male,,11,22,1,0,local police
male,70.0,12,23,1,1,local police
female,,13,21,0,0,local police
male,,11,23,1,1,local police
female,,16,20,1,0,local police
male,,10,44,0,0,local police
